species,error,direction
Snapper,9.627477134,Length
Snapper,0.380952381,Length
Snapper,4.391891892,Length
Snapper,8.808080808,Length
Snapper,1,Length
Snapper,4.380952381,Length
Snapper,0.7207207207,Length
Snapper,2.121212121,Length
Snapper,5.272108844,Length
Blue mackerel,1.888888889,Length
Blue mackerel,3.440860215,Length
Blue mackerel,1.609195402,Length
Blue mackerel,3.879310345,Length
Blue mackerel,1.639344262,Length
Tiger flathead,0.9868421053,Length
Tiger flathead,2.991452991,Length
Tiger flathead,2.222222222,Length
Tiger flathead,2.972972973,Length
Tiger flathead,3.040540541,Length
Dusky flathead,3.580246914,Length
Dusky flathead,1.68115942,Length
Dusky flathead,3.125,Length
Dusky flathead,1.56462585,Length
Dusky flathead,9.584980237,Length
Snapper,2.644230769,Width
Snapper,1.025641026,Width
Snapper,8.035714286,Width
Snapper,9.336219336,Width
Snapper,1.794871795,Width
Snapper,6.4,Width
Snapper,5.217391304,Width
Snapper,0,Width
Snapper,1.020408163,Width
Blue mackerel,6.666666667,Width
Blue mackerel,4.444444444,Width
Blue mackerel,8.666666667,Width
Blue mackerel,2.5,Width
Blue mackerel,4.545454545,Width
Tiger flathead,6.25,Width
Tiger flathead,5,Width
Tiger flathead,6.666666667,Width
Tiger flathead,3.111111111,Width
Tiger flathead,1.785714286,Width
Dusky flathead,9.722222222,Width
Dusky flathead,8.484848485,Width
Dusky flathead,2.5,Width
Dusky flathead,1.481481481,Width
Dusky flathead,14.40711462,Width